NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_REDACAO,NU_NOTA_LC,NU_NOTA_MT,TP_ST_CONCLUSAO,Q005,Q006
21,472.9,466,780,497.3,369.1,1,7,B
16,358.9,495.4,600,482.3,416.5,3,5,B
18,574.2,538.7,640,582.6,571.5,2,3,C
23,,,,,,2,3,C
23,,,,,,1,5,C
31,522,592.6,580,582,605.3,1,5,C
30,407.4,480.1,360,464.3,581.5,1,4,C
26,369.7,398.2,480,395.6,473.8,2,4,B
19,370.7,386.4,460,354.2,375.5,1,4,B
17,443.5,432.4,540,515.3,397,3,4,B
21,477.6,596.9,900,549.7,583.2,1,3,B
24,,,,,,2,2,A
31,,,,,,1,2,D
22,,,,,,1,4,D
29,,,,,,1,4,C
17,376.4,354.7,660,525.8,389.4,2,3,C
17,423,372.8,540,488.7,516.5,2,9,C
18,373.3,405.2,700,441.4,496.5,1,4,B
18,451.8,521,500,538.4,560.8,2,8,D
21,463.6,417.3,620,431,397.9,1,3,A
18,425.6,381.9,480,420.1,381.3,1,4,B
20,682,669.1,920,640.9,801.9,1,5,F
23,503.2,546.7,680,551.8,436.8,1,5,E
16,559.2,595.5,800,556.9,585.2,3,4,H
18,412.5,417.2,580,485.1,446.2,2,3,C
28,338.5,391.7,0,358.8,443.1,1,4,C
19,450.6,561.8,920,539,476,1,4,C
40,343.8,481,400,499.5,397.6,1,8,C
17,506,495.1,640,469.5,458.9,3,4,B
17,460.7,570.5,640,541.8,631.3,2,3,A
20,414.8,388.2,440,457.6,401.6,1,2,C
18,496.8,475.1,880,544.9,537.8,1,4,C
17,435.6,512.3,420,488.6,432.4,3,4,B
17,511.9,492.8,600,478.5,432.8,3,6,B
29,,,,,,1,3,B
18,449.3,457.1,520,510.5,399.3,3,4,C
18,516.7,575.6,800,587.8,604.8,1,4,K
16,546.6,589.7,620,578.4,650.3,3,4,B
18,600.4,651.8,800,583.3,567.8,1,3,B
23,447.9,452.6,660,472.5,450.5,1,2,B
23,,,,,,2,4,D
39,360.8,472.9,0,374.2,398.9,1,2,C
21,,,,,,1,3,B
25,432.6,418.2,560,438.2,599.7,1,5,E
22,383.6,468.2,720,518.6,429.8,1,3,A
23,,409.3,400,375.3,,1,4,B
19,557.8,550.1,580,528,418.5,1,5,L
23,495.1,480.1,680,528.2,517.9,1,4,B
17,509.8,494.9,940,540.5,564.3,2,4,E
17,347.2,442.7,600,492.9,391.9,3,8,D
23,462.2,499.9,600,438,477.9,1,7,C
17,422.1,534.4,480,516.3,585.2,2,4,B
15,479.9,497,0,499.6,387.6,3,3,J
34,396.1,427.9,420,483,393,1,2,A
23,454.6,418.1,560,393.7,443.2,1,3,A
19,511.9,579.1,760,611.8,540.2,1,5,B
18,423.2,343.9,580,453.9,456,2,3,A
20,,,,,,1,3,B
27,,394.2,520,412.1,,1,2,B
18,349.8,417.1,320,416.6,468.3,1,4,B
18,450.9,436.6,580,489.1,408.4,2,5,A
25,484.7,530.8,820,591.5,459.1,1,2,A
19,609.6,592,800,546.4,692.2,1,4,B
16,497.2,443.4,340,511.3,392.4,3,4,C
25,,,,,,1,1,O
