NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_TEMPO_ADICIONAL;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001004627;2019;1506807;Santarém;15;PA;21;M;1;3;4;;;;;1;3;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1506807;Santarém;15;PA;1;1;1;1;504;509;514;516;472.9;466;497.3;369.1;DECCEBAECBDADCDBBACEBECCBECBECDDDCBCAADBEDCDA;CCBCAEDAAECEDABEDAAADEDBBEDACDCDDCBBCCEBBAACB;DBBCB99999BDCCDBBABBAAADCBEBAEBBAAEBCCCABDCCBACCAB;ADBBDEDCABCEDCACBECDCCEBCCDBEBDCEDDBCDBCCDECC;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;160;160;160;140;160;780;D;E;A;A;7;B;A;B;C;A;A;B;A;B;A;A;A;A;C;B;A;D;A;B;A
190001004628;2019;1504059;Mãe do Rio;15;PA;16;F;1;3;1;1505502;Paragominas;15;PA;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1504059;Mãe do Rio;15;PA;1;1;1;1;506;510;513;517;358.9;495.4;482.3;416.5;DAEDEBDCDEBAAACDADABDACABECDAEAAAADCEBBADEBDE;CEACBBDEEABDDACADDAABCEAEEDEEBCACEDBBDBBDBACE;99999ADBEAEBDACDAADEBBDABAEADCDDACABCCAABEEAEECCBC;DACCCBDCCCBACCCCEEEBBBEACCAABDBACDCAECABCCDBE;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;120;120;120;120;600;D;E;A;A;5;B;A;B;C;A;A;B;A;B;A;A;A;A;B;B;A;B;A;A;A
190001004629;2019;1505502;Paragominas;15;PA;18;F;1;1;1;1505502;Paragominas;15;PA;2;0;3;1;0;15230023;1505502;Paragominas;15;PA;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1505502;Paragominas;15;PA;1;1;1;1;505;510;513;518;574.2;538.7;582.6;571.5;AABDAECAECECCBCBDECCCBCDBBABABADACBDEADEDABEE;ABACCEABCDADABACBBCEACDACDBBEEBACABBAEACAADCE;ADBBC99999EDBCBBAACECCDCDAACECAABCDCCEDEBAECEAAACC;DECCABCBCDBBBEAECBDBBCDDAADEBCBCACBBEDADDEEAC;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;140;120;120;140;120;640;H;E;A;D;3;C;D;E;E;C;A;B;C;B;A;B;A;A;D;B;B;D;A;C;B
190001004630;2019;1507706;São Sebastião da Boa Vista;15;PA;23;M;0;3;1;1501402;Belém;15;PA;2;0;2;1;0;15027635;1507706;São Sebastião da Boa Vista;15;PA;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1507706;São Sebastião da Boa Vista;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;D;A;B;3;C;A;B;C;A;A;B;A;A;A;A;A;A;C;A;A;D;A;A;A
190001004631;2019;1503903;Juruti;15;PA;23;M;1;3;1;1503903;Juruti;15;PA;1;5;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1503903;Juruti;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;A;A;5;C;A;C;B;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;A
190001004632;2019;1500800;Ananindeua;15;PA;31;M;1;1;1;1501402;Belém;15;PA;1;7;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501402;Belém;15;PA;1;1;1;1;506;508;512;517;522;592.6;582;605.3;EEDAACCEEABAEADACEBADEBEAEABDADBEBCBAEBEDACEC;ABAAADBACCEEACABCCACEDBAAADDAACAAEEBCECEDDCAC;99999BDAAACBBBEEBCBCCADBDEDAEBEDEBBACDBDECDECAACED;AAECDAEBBDCAAEDBACCBADDCBEAEACCCAEDBAEEAADDEB;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;200;140;120;0;580;C;C;C;D;5;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
190001004633;2019;1504208;Marabá;15;PA;30;F;2;3;1;1504208;Marabá;15;PA;1;10;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1504208;Marabá;15;PA;1;1;1;1;504;510;513;516;407.4;480.1;464.3;581.5;CADACDBEBBCEACCEADBEEBCBAEADAEDBDBAABCDACABCD;AEADABBDEABAAAACCEADEEACEADEEACCCADBACCEBDDEE;99999DDEEBCCBDADEACEAADEDEAAAECAECABCDADDECEEBAACE;DCAEDAAADEBEACDBADEACDECEACDACDCBEBAECBEEDABC;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;80;100;80;80;20;360;B;B;A;A;4;C;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
190001004634;2019;1501402;Belém;15;PA;26;F;0;3;1;1501204;Baião;15;PA;2;0;2;1;0;15042626;1501402;Belém;15;PA;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501402;Belém;15;PA;1;1;1;1;504;508;512;516;369.7;398.2;395.6;473.8;CBACBAEABDBDDEEDABEDCADEBEADABCDAABEBCBACDBDE;CABAEBAEBBCEECADAEEBDECABBEBABDBAEEDBEAECDEAC;BCCAD99999CCDEBDBBBDCBEDECCAECBAABCEEBBDEADBBEECCC;DAADEADABDECBDEADDAECCBEAEEADBEACBBABAADBDCDE;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;120;120;0;480;B;B;B;B;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001004635;2019;1503606;Itaituba;15;PA;19;M;1;3;1;1503606;Itaituba;15;PA;1;0;1;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1503606;Itaituba;15;PA;1;1;1;1;506;509;514;517;370.7;386.4;354.2;375.5;DDDACECEECBADDCBCCECEDADBACCDDACBCCDCEACABEBC;EEDCAEEBCC*DEACCCCACDDAEAEBBAABDADADBDABADCBE;99999ADBEBADECDBAAEAEBBEECADCEDBCE*DDCABDDAEDEEBDC;CECC.BCEBBABCDCACD*BDACCBDEEDCCBCC*BCADDAECCB;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;80;120;100;80;80;460;D;D;B;B;4;B;A;B;C;A;B;B;A;A;A;A;A;A;A;A;A;C;A;A;B
190001004636;2019;1507607;São Miguel do Guamá;15;PA;17;F;1;2;2;;;;;3;0;1;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1507607;São Miguel do Guamá;15;PA;1;1;1;1;504;510;513;516;443.5;432.4;515.3;397;CBDAEECEBECBDADCBACEA*EDBCAEDAACCAEDEBEADCACE;CEADCABBBEABAACBEAAABBEBECEECCDACADEBBDABBCCD;99999CCEBDCEECBAEABEBDDDADACCCEBDCDDBEACBEBABDACBC;EAEEDCBEECACADEABACDECDBBADECAEAC*AABEBECEBAB;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;100;120;120;100;100;540;E;E;B;F;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
