Conclusao-Ensino-Medio,Nota,Renda-Per-Capita,Tipo-Escola,Idade
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Cursando,564.173 - 705.217,,Privada,1 - 19.6
Cursando,0 - 141.043,,Publica,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,423.130 - 564.173,,Publica,19.6 - 38.2
Concluiu,282.087 - 423.130,,Nao Respondeu,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,564.173 - 705.217,,Nao Respondeu,19.6 - 38.2
Cursando,0 - 141.043,,Publica,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,282.087 - 423.130,,Nao Respondeu,1 - 19.6
Nao Cursando,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,705.217 - 846.26,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Nao Cursando,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,282.087 - 423.130,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,38.2 - 56.8
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,282.087 - 423.130,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Cursando,0 - 141.043,,Publica,19.6 - 38.2
Concluiu,282.087 - 423.130,,Nao Respondeu,38.2 - 56.8
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,141.043 - 282.087,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Nao Cursando,282.087 - 423.130,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,141.043 - 282.087,,Nao Respondeu,19.6 - 38.2
Concluiu,282.087 - 423.130,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,564.173 - 705.217,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,141.043 - 282.087,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Nao Cursando,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Nao Cursando,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Concluiu,564.173 - 705.217,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,38.2 - 56.8
Concluiu,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Nao Cursando,0 - 141.043,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,1 - 19.6
Cursando,423.130 - 564.173,,Publica,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,1 - 19.6
Concluiu,282.087 - 423.130,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Privada,1 - 19.6
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Cursando,564.173 - 705.217,,Publica,1 - 19.6
Cursando,282.087 - 423.130,,Publica,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,1 - 19.6
Concluiu,141.043 - 282.087,,Nao Respondeu,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,38.2 - 56.8
Concluiu,423.130 - 564.173,,Nao Respondeu,38.2 - 56.8
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,564.173 - 705.217,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,0 - 141.043,,Publica,1 - 19.6
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,0 - 141.043,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
Cursando,423.130 - 564.173,,Publica,1 - 19.6
Concluiu,423.130 - 564.173,,Nao Respondeu,19.6 - 38.2
